,name,pathscplex,flatintvarscplex,flatintconstraintscplex,flattimecplex,time,comtime
58,benchmark_puzzles/benchmarks3x3/30/puzzle20.txt,0.0,288.0,253.0,0.10411,0.0003,0.10440999999999999
59,benchmark_puzzles/benchmarks3x3/35/puzzle1.txt,0.0,252.0,227.0,0.10366600000000001,0.0006999999999999999,0.10436600000000001
60,benchmark_puzzles/benchmarks3x3/35/puzzle2.txt,0.0,234.0,214.0,0.10442799999999999,0.0006,0.105028
61,benchmark_puzzles/benchmarks3x3/35/puzzle3.txt,0.0,324.0,243.0,0.10977999999999999,0.0008000000000000001,0.11057999999999998
62,benchmark_puzzles/benchmarks3x3/35/puzzle4.txt,0.0,216.0,165.0,0.10554000000000001,0.0006999999999999999,0.10624000000000001
63,benchmark_puzzles/benchmarks3x3/35/puzzle5.txt,0.0,324.0,279.0,0.10971800000000001,0.0007,0.11041800000000002
64,benchmark_puzzles/benchmarks3x3/35/puzzle6.txt,0.0,405.0,315.0,0.108679,0.0010500000000000002,0.109729
65,benchmark_puzzles/benchmarks3x3/35/puzzle7.txt,0.0,207.0,172.0,0.104835,0.0006749999999999999,0.10550999999999999
66,benchmark_puzzles/benchmarks3x3/35/puzzle8.txt,0.0,369.0,298.0,0.108973,0.00095,0.109923
67,benchmark_puzzles/benchmarks3x3/35/puzzle9.txt,0.0,333.0,272.0,0.112568,0.0008500000000000003,0.113418
68,benchmark_puzzles/benchmarks3x3/35/puzzle10.txt,0.0,405.0,306.0,0.11240499999999999,0.0012499999999999998,0.11365499999999999
69,benchmark_puzzles/benchmarks3x3/35/puzzle11.txt,0.0,189.0,141.0,0.107946,0.0003,0.108246
70,benchmark_puzzles/benchmarks3x3/35/puzzle12.txt,0.0,324.0,261.0,0.108072,0.0008000000000000001,0.108872
71,benchmark_puzzles/benchmarks3x3/35/puzzle13.txt,0.0,423.0,319.0,0.111328,0.000925,0.11225299999999999
72,benchmark_puzzles/benchmarks3x3/35/puzzle14.txt,0.0,315.0,259.0,0.11133,0.0007500000000000001,0.11208
73,benchmark_puzzles/benchmarks3x3/35/puzzle15.txt,0.0,225.0,176.0,0.108998,0.0007,0.109698
74,benchmark_puzzles/benchmarks3x3/35/puzzle16.txt,0.0,351.0,303.0,0.109399,0.00035,0.109749
75,benchmark_puzzles/benchmarks3x3/35/puzzle17.txt,0.0,288.0,235.0,0.130814,0.0003,0.131114
76,benchmark_puzzles/benchmarks3x3/35/puzzle18.txt,0.0,432.0,321.0,0.10968199999999999,0.001,0.11068199999999999
77,benchmark_puzzles/benchmarks3x3/35/puzzle19.txt,0.0,234.0,196.0,0.10690899999999999,0.0007,0.107609
78,benchmark_puzzles/benchmarks3x3/35/puzzle20.txt,0.0,360.0,296.0,0.104332,0.00115,0.10548199999999999
79,benchmark_puzzles/benchmarks3x3/40/puzzle1.txt,0.0,315.0,277.0,0.108341,0.001125,0.10946600000000001
