name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi
benchmark_puzzles/benchmarks3x3/30/puzzle5.txt,0.0,270.0,249.0,0.11572
benchmark_puzzles/benchmarks3x3/30/puzzle6.txt,0.0,306.0,266.0,0.12171
benchmark_puzzles/benchmarks3x3/30/puzzle7.txt,0.0,189.0,159.0,0.110419
benchmark_puzzles/benchmarks3x3/30/puzzle8.txt,0.0,351.0,294.0,0.119621
benchmark_puzzles/benchmarks3x3/30/puzzle9.txt,0.0,297.0,264.0,0.115971
benchmark_puzzles/benchmarks3x3/30/puzzle10.txt,0.0,351.0,285.0,0.116194
benchmark_puzzles/benchmarks3x3/30/puzzle11.txt,0.0,162.0,108.0,0.104749
benchmark_puzzles/benchmarks3x3/30/puzzle12.txt,0.0,261.0,211.0,0.111264
benchmark_puzzles/benchmarks3x3/30/puzzle13.txt,0.0,387.0,311.0,0.123619
benchmark_puzzles/benchmarks3x3/30/puzzle14.txt,0.0,243.0,216.0,0.108181
benchmark_puzzles/benchmarks3x3/30/puzzle15.txt,0.0,198.0,152.0,0.108897
benchmark_puzzles/benchmarks3x3/30/puzzle16.txt,0.0,306.0,266.0,0.115156
benchmark_puzzles/benchmarks3x3/30/puzzle17.txt,0.0,261.0,220.0,0.1181
benchmark_puzzles/benchmarks3x3/30/puzzle18.txt,0.0,396.0,313.0,0.125562
benchmark_puzzles/benchmarks3x3/30/puzzle19.txt,0.0,198.0,161.0,0.111645
benchmark_puzzles/benchmarks3x3/30/puzzle20.txt,0.0,288.0,253.0,0.109144
benchmark_puzzles/benchmarks3x3/35/puzzle1.txt,0.0,252.0,227.0,0.107878
benchmark_puzzles/benchmarks3x3/35/puzzle2.txt,0.0,234.0,214.0,0.10795
benchmark_puzzles/benchmarks3x3/35/puzzle3.txt,0.0,324.0,243.0,0.109552
benchmark_puzzles/benchmarks3x3/35/puzzle4.txt,0.0,216.0,165.0,0.106754
benchmark_puzzles/benchmarks3x3/35/puzzle5.txt,0.0,324.0,279.0,0.104103
benchmark_puzzles/benchmarks3x3/35/puzzle6.txt,0.0,405.0,315.0,0.111673
benchmark_puzzles/benchmarks3x3/35/puzzle7.txt,0.0,207.0,172.0,0.107493
benchmark_puzzles/benchmarks3x3/35/puzzle8.txt,0.0,369.0,298.0,0.105439
benchmark_puzzles/benchmarks3x3/35/puzzle9.txt,0.0,333.0,272.0,0.106915
benchmark_puzzles/benchmarks3x3/35/puzzle10.txt,0.0,405.0,306.0,0.112209
benchmark_puzzles/benchmarks3x3/35/puzzle11.txt,0.0,189.0,141.0,0.110667
benchmark_puzzles/benchmarks3x3/35/puzzle12.txt,0.0,324.0,261.0,0.109545
benchmark_puzzles/benchmarks3x3/35/puzzle13.txt,0.0,423.0,319.0,0.114036
benchmark_puzzles/benchmarks3x3/35/puzzle14.txt,0.0,315.0,259.0,0.112673
benchmark_puzzles/benchmarks3x3/35/puzzle15.txt,0.0,225.0,176.0,0.110093
benchmark_puzzles/benchmarks3x3/35/puzzle16.txt,0.0,351.0,303.0,0.111776
benchmark_puzzles/benchmarks3x3/35/puzzle17.txt,0.0,288.0,235.0,0.117157
benchmark_puzzles/benchmarks3x3/35/puzzle18.txt,0.0,432.0,321.0,0.117565
benchmark_puzzles/benchmarks3x3/35/puzzle19.txt,0.0,234.0,196.0,0.121545
benchmark_puzzles/benchmarks3x3/35/puzzle20.txt,0.0,360.0,296.0,0.131441
benchmark_puzzles/benchmarks3x3/40/puzzle1.txt,0.0,315.0,277.0,0.119386
benchmark_puzzles/benchmarks3x3/40/puzzle2.txt,0.0,342.0,283.0,0.111214
benchmark_puzzles/benchmarks3x3/40/puzzle3.txt,0.0,387.0,293.0,0.122167
benchmark_puzzles/benchmarks3x3/40/puzzle4.txt,0.0,279.0,233.0,0.122917
benchmark_puzzles/benchmarks3x3/40/puzzle5.txt,0.0,351.0,285.0,0.118338
benchmark_puzzles/benchmarks3x3/40/puzzle6.txt,0.0,423.0,319.0,0.12384
benchmark_puzzles/benchmarks3x3/40/puzzle7.txt,0.0,252.0,209.0,0.137207
benchmark_puzzles/benchmarks3x3/40/puzzle8.txt,0.0,396.0,304.0,0.122314
