name,pathscplex,flatintvarscplex,flatintconstraintscplex,flattimecplex
benchmark_puzzles/benchmarks3x3/30/puzzle9.txt,0.0,297.0,264.0,0.103643
benchmark_puzzles/benchmarks3x3/30/puzzle10.txt,0.0,351.0,285.0,0.107544
benchmark_puzzles/benchmarks3x3/30/puzzle11.txt,0.0,162.0,108.0,0.10189
benchmark_puzzles/benchmarks3x3/30/puzzle12.txt,0.0,261.0,211.0,0.104136
benchmark_puzzles/benchmarks3x3/30/puzzle13.txt,0.0,387.0,311.0,0.110959
benchmark_puzzles/benchmarks3x3/30/puzzle14.txt,0.0,243.0,216.0,0.104022
benchmark_puzzles/benchmarks3x3/30/puzzle15.txt,0.0,198.0,152.0,0.104725
benchmark_puzzles/benchmarks3x3/30/puzzle16.txt,0.0,306.0,266.0,0.108999
benchmark_puzzles/benchmarks3x3/30/puzzle17.txt,0.0,261.0,220.0,0.104104
benchmark_puzzles/benchmarks3x3/30/puzzle18.txt,0.0,396.0,313.0,0.111264
benchmark_puzzles/benchmarks3x3/30/puzzle19.txt,0.0,198.0,161.0,0.107067
benchmark_puzzles/benchmarks3x3/30/puzzle20.txt,0.0,288.0,253.0,0.10411
benchmark_puzzles/benchmarks3x3/35/puzzle1.txt,0.0,252.0,227.0,0.103666
benchmark_puzzles/benchmarks3x3/35/puzzle2.txt,0.0,234.0,214.0,0.104428
benchmark_puzzles/benchmarks3x3/35/puzzle3.txt,0.0,324.0,243.0,0.10978
benchmark_puzzles/benchmarks3x3/35/puzzle4.txt,0.0,216.0,165.0,0.10554
benchmark_puzzles/benchmarks3x3/35/puzzle5.txt,0.0,324.0,279.0,0.109718
benchmark_puzzles/benchmarks3x3/35/puzzle6.txt,0.0,405.0,315.0,0.108679
benchmark_puzzles/benchmarks3x3/35/puzzle7.txt,0.0,207.0,172.0,0.104835
benchmark_puzzles/benchmarks3x3/35/puzzle8.txt,0.0,369.0,298.0,0.108973
benchmark_puzzles/benchmarks3x3/35/puzzle9.txt,0.0,333.0,272.0,0.112568
benchmark_puzzles/benchmarks3x3/35/puzzle10.txt,0.0,405.0,306.0,0.112405
benchmark_puzzles/benchmarks3x3/35/puzzle11.txt,0.0,189.0,141.0,0.107946
benchmark_puzzles/benchmarks3x3/35/puzzle12.txt,0.0,324.0,261.0,0.108072
benchmark_puzzles/benchmarks3x3/35/puzzle13.txt,0.0,423.0,319.0,0.111328
benchmark_puzzles/benchmarks3x3/35/puzzle14.txt,0.0,315.0,259.0,0.11133
benchmark_puzzles/benchmarks3x3/35/puzzle15.txt,0.0,225.0,176.0,0.108998
benchmark_puzzles/benchmarks3x3/35/puzzle16.txt,0.0,351.0,303.0,0.109399
benchmark_puzzles/benchmarks3x3/35/puzzle17.txt,0.0,288.0,235.0,0.130814
benchmark_puzzles/benchmarks3x3/35/puzzle18.txt,0.0,432.0,321.0,0.109682
benchmark_puzzles/benchmarks3x3/35/puzzle19.txt,0.0,234.0,196.0,0.106909
benchmark_puzzles/benchmarks3x3/35/puzzle20.txt,0.0,360.0,296.0,0.104332
benchmark_puzzles/benchmarks3x3/40/puzzle1.txt,0.0,315.0,277.0,0.108341
benchmark_puzzles/benchmarks3x3/40/puzzle2.txt,0.0,342.0,283.0,0.106176
benchmark_puzzles/benchmarks3x3/40/puzzle3.txt,0.0,387.0,293.0,0.110649
benchmark_puzzles/benchmarks3x3/40/puzzle4.txt,0.0,279.0,233.0,0.111932
benchmark_puzzles/benchmarks3x3/40/puzzle5.txt,0.0,351.0,285.0,0.10868
benchmark_puzzles/benchmarks3x3/40/puzzle6.txt,0.0,423.0,319.0,0.113114
benchmark_puzzles/benchmarks3x3/40/puzzle7.txt,0.0,252.0,209.0,0.105157
benchmark_puzzles/benchmarks3x3/40/puzzle8.txt,0.0,396.0,304.0,0.112814
benchmark_puzzles/benchmarks3x3/40/puzzle9.txt,0.0,369.0,289.0,0.108938
benchmark_puzzles/benchmarks3x3/40/puzzle10.txt,0.0,432.0,312.0,0.113028
benchmark_puzzles/benchmarks3x3/40/puzzle11.txt,0.0,306.0,239.0,0.109525
benchmark_puzzles/benchmarks3x3/40/puzzle12.txt,0.0,405.0,315.0,0.113192
benchmark_puzzles/benchmarks3x3/40/puzzle13.txt,0.0,459.0,327.0,0.111972
