,name,pathsgurobi,flatintvarsgurobi,flatintconstraintsgurobi,flattimegurobi,time,comtime
57,benchmark_puzzles/benchmarks3x3/30/puzzle19.txt,0.0,198.0,161.0,0.11164500000000001,0.0008615384615384613,0.11250653846153846
58,benchmark_puzzles/benchmarks3x3/30/puzzle20.txt,0.0,288.0,253.0,0.109144,0.00027692307692307684,0.10942092307692308
59,benchmark_puzzles/benchmarks3x3/35/puzzle1.txt,0.0,252.0,227.0,0.107878,0.0002615384615384616,0.10813953846153847
60,benchmark_puzzles/benchmarks3x3/35/puzzle2.txt,0.0,234.0,214.0,0.10795,0.0009153846153846152,0.10886538461538461
61,benchmark_puzzles/benchmarks3x3/35/puzzle3.txt,0.0,324.0,243.0,0.109552,0.0011461538461538462,0.11069815384615385
62,benchmark_puzzles/benchmarks3x3/35/puzzle4.txt,0.0,216.0,165.0,0.106754,0.0002461538461538461,0.10700015384615384
63,benchmark_puzzles/benchmarks3x3/35/puzzle5.txt,0.0,324.0,279.0,0.104103,0.00048461538461538466,0.10458761538461539
64,benchmark_puzzles/benchmarks3x3/35/puzzle6.txt,0.0,405.0,315.0,0.11167300000000001,0.0014461538461538461,0.11311915384615386
65,benchmark_puzzles/benchmarks3x3/35/puzzle7.txt,0.0,207.0,172.0,0.107493,0.0009461538461538462,0.10843915384615385
66,benchmark_puzzles/benchmarks3x3/35/puzzle8.txt,0.0,369.0,298.0,0.105439,0.0012846153846153845,0.10672361538461539
67,benchmark_puzzles/benchmarks3x3/35/puzzle9.txt,0.0,333.0,272.0,0.10691500000000001,0.001176923076923077,0.10809192307692309
68,benchmark_puzzles/benchmarks3x3/35/puzzle10.txt,0.0,405.0,306.0,0.11220899999999999,0.0015846153846153846,0.11379361538461537
69,benchmark_puzzles/benchmarks3x3/35/puzzle11.txt,0.0,189.0,141.0,0.110667,0.00021538461538461528,0.11088238461538462
70,benchmark_puzzles/benchmarks3x3/35/puzzle12.txt,0.0,324.0,261.0,0.109545,0.0012307692307692306,0.11077576923076923
71,benchmark_puzzles/benchmarks3x3/35/puzzle13.txt,0.0,423.0,319.0,0.11403599999999998,0.001484615384615385,0.11552061538461537
72,benchmark_puzzles/benchmarks3x3/35/puzzle14.txt,0.0,315.0,259.0,0.112673,0.0010923076923076923,0.1137653076923077
73,benchmark_puzzles/benchmarks3x3/35/puzzle15.txt,0.0,225.0,176.0,0.11009300000000001,0.00027692307692307684,0.11036992307692309
74,benchmark_puzzles/benchmarks3x3/35/puzzle16.txt,0.0,351.0,303.0,0.111776,0.0012,0.11297600000000001
75,benchmark_puzzles/benchmarks3x3/35/puzzle17.txt,0.0,288.0,235.0,0.117157,0.0011230769230769233,0.11828007692307692
76,benchmark_puzzles/benchmarks3x3/35/puzzle18.txt,0.0,432.0,321.0,0.117565,0.0013769230769230766,0.11894192307692308
77,benchmark_puzzles/benchmarks3x3/35/puzzle19.txt,0.0,234.0,196.0,0.121545,0.0008846153846153845,0.12242961538461539
78,benchmark_puzzles/benchmarks3x3/35/puzzle20.txt,0.0,360.0,296.0,0.131441,0.00034615384615384613,0.13178715384615386
79,benchmark_puzzles/benchmarks3x3/40/puzzle1.txt,0.0,315.0,277.0,0.11938599999999999,0.0011923076923076922,0.12057830769230768
80,benchmark_puzzles/benchmarks3x3/40/puzzle2.txt,0.0,342.0,283.0,0.11121400000000001,0.0012076923076923078,0.11242169230769232
81,benchmark_puzzles/benchmarks3x3/40/puzzle3.txt,0.0,387.0,293.0,0.12216700000000001,0.0013384615384615384,0.12350546153846155
82,benchmark_puzzles/benchmarks3x3/40/puzzle4.txt,0.0,279.0,233.0,0.12291700000000001,0.00029230769230769224,0.1232093076923077
83,benchmark_puzzles/benchmarks3x3/40/puzzle5.txt,0.0,351.0,285.0,0.11833800000000001,0.0004769230769230769,0.1188149230769231
